date,close,high,low,open,volume,price_change,price_change_pct,day_of_week,month,year,quarter
2021-02-04,232.21824645996094,233.39849108148437,230.64460160601337,232.84195618123965,25296100,,,3,2,2021,1
2021-02-05,232.4005584716797,233.4368633100368,230.69257863848463,232.42934349707153,18054800,0.18231201171875,0.07850890896732299,4,2,2021,1
2021-02-08,232.65957641601562,233.8206111749062,231.0667371083445,233.31205633978672,22211900,0.2590179443359375,0.11145323661840845,0,2,2021,1
2021-02-09,233.90701293945312,234.85694793762076,231.61371348356542,232.08387859856478,23565000,1.2474365234375,0.5361638418901693,1,2,2021,1
2021-02-10,232.99542236328125,235.96998646180285,231.14350324493915,235.08721175015955,22186700,-0.911590576171875,-0.3897234908505465,2,2,2021,1
2021-02-11,234.59788513183594,235.23117025659255,232.3525509282651,234.87614522468496,15751100,1.6024627685546875,0.6877657733790787,3,2,2021,1
2021-02-12,235.07763671875,235.37509168356013,232.909067623064,234.0605123364703,16561100,0.4797515869140625,0.20449953615073735,4,2,2021,1
2021-02-16,233.83982849121094,236.17151764085375,233.0913886756254,235.11601808481555,26728500,-1.2378082275390625,-0.5265529485563025,1,2,2021,1
2021-02-17,234.8593292236328,234.96512230260174,231.7240297448597,232.08949941314134,21653500,1.019500732421875,0.4359825009280671,2,2,2021,1
2021-02-18,234.46495056152344,234.5995949311717,231.647031012765,232.55107806974718,16925600,-0.394378662109375,-0.1679212247659323,3,2,2021,1
2021-02-19,231.75282287597656,234.53227887991062,230.99303240639816,234.4264858275061,25262600,-2.712127685546875,-1.1567305386376736,4,2,2021,1
2021-02-22,225.5399169921875,228.82909920704134,223.51062453702826,228.33861214281137,36446900,-6.2129058837890625,-2.680832883366402,0,2,2021,1
2021-02-23,224.34739685058594,225.84772430355326,219.98104421168009,221.51984987762208,30228700,-1.1925201416015625,-0.5287401704785033,1,2,2021,1
2021-02-24,225.57839965820312,226.20353110586373,220.24068577960895,221.2120477133172,26339700,1.2310028076171875,0.5487038516595932,2,2,2021,1
2021-02-25,220.23109436035156,225.6168844933576,219.16355148383207,223.20289775237097,39542200,-5.3473052978515625,-2.370486405592831,3,2,2021,1
2021-02-26,223.49142456054688,226.36704708770696,220.76004395905966,222.6739313555886,37819200,3.2603302001953125,1.480413203986819,4,2,2021,1
2021-03-01,227.87698364257812,228.3867098260675,224.2319439435093,226.87675570412392,25324000,4.38555908203125,1.9622941196310473,0,3,2021,1
2021-03-02,224.9243927001953,228.22320172977388,224.5204595960881,227.94428610482706,22812500,-2.9525909423828125,-1.2956951137346628,1,3,2021,1
2021-03-03,218.8557891845703,224.6455272759705,218.56726130025564,223.279844277028,34029500,-6.068603515625,-2.698063755012081,2,3,2021,1
2021-03-04,218.05755615234375,223.59724510649153,215.68203266613037,218.06718304367254,44727800,-0.7982330322265625,-0.3647301427120886,3,3,2021,1
2021-03-05,222.74124145507812,224.3473617295842,217.7978484716733,220.7408002725728,41872800,4.683685302734375,2.147912406879482,4,3,2021,1
2021-03-08,218.69227600097656,224.44353542154002,218.4422263479561,222.52003591331203,35267400,-4.0489654541015625,-1.8177888511581086,0,3,2021,1
2021-03-09,224.83787536621094,226.37668097304578,222.80858262632722,223.9723063843275,33080500,6.145599365234375,2.810158400476359,1,3,2021,1
2021-03-10,223.5298614501953,227.93467679656288,223.16439187152451,227.93467679656288,29746800,-1.308013916015625,-0.5817587067504348,2,3,2021,1
2021-03-11,228.05972290039062,230.02168593321738,225.3475815614815,225.9727277040274,29907600,4.5298614501953125,2.0265128877219984,3,3,2021,1
2021-03-12,226.73248291015625,226.79981243058896,224.30886965187727,225.05903321453633,22653700,-1.327239990234375,-0.5819703599368453,4,3,2021,1
2021-03-15,225.82843017578125,226.19389973430492,222.94318126146158,225.97270142657817,26034900,-0.904052734375,-0.3987310167344771,0,3,2021,1
2021-03-16,228.61756896972656,230.87767236818883,226.91526758397492,227.24225901905038,28092200,2.7891387939453125,1.235069823482493,1,3,2021,1
2021-03-17,227.97315979003906,229.42541133970818,224.30889550204407,227.11720307886736,29562100,-0.6444091796875,-0.2818721162120452,2,3,2021,1
2021-03-18,221.8948974609375,225.23217017671175,221.51981565564103,223.66451343079086,34833000,-6.0782623291015625,-2.666218398121767,3,3,2021,1
2021-03-19,221.53907775878906,223.57798268898384,220.57732793509152,222.18344837964992,46430700,-0.3558197021484375,-0.16035506278870848,4,3,2021,1
2021-03-22,226.96336364746094,227.8385449012863,221.33712087570703,221.46215305845587,30127000,5.424285888671875,2.4484555698014665,0,3,2021,1
2021-03-23,228.49252319335938,231.82979623103833,228.0020360699332,228.4059692318967,31638400,1.5291595458984375,0.6737473049939657,1,3,2021,1
2021-03-24,226.45359802246094,228.8964358811069,226.31895364718338,228.75217929157247,25620100,-2.0389251708984375,-0.8923378071207244,2,3,2021,1
2021-03-25,223.4529266357422,227.87698122201323,222.71238991673437,226.29971226671537,34061900,-3.00067138671875,-1.3250711902670353,3,3,2021,1
2021-03-26,227.43455505371094,227.6557680411861,222.69313628302467,222.69313628302467,25479900,3.98162841796875,1.7818645197067884,4,3,2021,1
2021-03-29,226.2420196533203,227.74234693638846,223.0105398608901,227.54037302898925,25227500,-1.192535400390625,-0.524342222363261,0,3,2021,1
2021-03-30,222.98170471191406,224.9052043784386,222.26039233696736,224.59743738772852,24792000,-3.26031494140625,-1.441074008445542,1,3,2021,1
2021-03-31,226.75173950195312,229.95436788577308,223.50102069627698,224.00113466833557,43623500,3.7700347900390625,1.690737271432119,2,3,2021,1
2021-04-01,233.080078125,233.55132615154153,228.94455090403778,229.34848407327533,30338000,6.328338623046875,2.79086662662289,3,4,2021,2
2021-04-05,239.54299926757812,240.39895589372134,233.41664384156837,233.4743464742084,36910600,6.462921142578125,2.7728329227314275,0,4,2021,2
2021-04-06,238.37928771972656,239.8603758409947,237.43677709710138,238.1388502881798,22931900,-1.1637115478515625,-0.48580486652071153,1,4,2021,2
2021-04-07,240.34124755859375,241.3318485895909,237.73491405281382,238.3311941792023,22719800,1.9619598388671875,0.8230412371958984,2,4,2021,2
2021-04-08,243.56314086914062,244.41909761825963,242.3609535993028,243.1015050665614,23625200,3.221893310546875,1.3405494659260997,3,4,2021,2
2021-04-09,246.0636749267578,246.1983193023005,242.7841048169457,243.19765015784952,24326800,2.5005340576171875,1.026647155515481,4,4,2021,2
2021-04-12,246.1213836669922,247.81407263023797,244.8807182632371,244.96728689441156,27148700,0.057708740234375,0.02345276695210341,0,4,2021,2
2021-04-13,248.60267639160156,249.27591293750018,247.00616833012472,247.41974301703107,23837500,2.481292724609375,1.0081581241094595,1,4,2021,2
2021-04-14,245.8135986328125,248.92965822222618,245.40005331204884,247.63131962681794,23070900,-2.7890777587890625,-1.1219017426810307,2,4,2021,2
2021-04-15,249.5740509033203,249.9875962364744,247.87176447481755,248.06409680754706,25627500,3.7604522705078125,1.5297983071005827,3,4,2021,2
2021-04-16,250.76666259765625,251.0167269668003,247.74678313690524,249.5452507758336,24878600,1.1926116943359375,0.4778588519196436,4,4,2021,2
2021-04-19,248.8431854248047,251.47840038105653,247.95839186161297,250.23773466389085,23209300,-1.9234771728515625,-0.7670386298268439,0,4,2021,2
2021-04-20,248.3814697265625,250.24726636347467,247.01577233294665,247.9582975398235,19722900,-0.4617156982421875,-0.18554484321280373,1,4,2021,2
2021-04-21,250.6127166748047,250.70889751208153,247.41010318040776,249.03546247449313,24030400,2.2312469482421875,0.8983145766463752,2,4,2021,2
2021-04-22,247.3332061767578,251.76685861637338,245.86171549830988,250.25690440342183,25606200,-3.279510498046875,-1.308597002402867,3,4,2021,2
2021-04-23,251.16094970703125,251.5071948907045,247.4293558567117,248.01603848589244,21462600,3.8277435302734375,1.5476059965591205,4,4,2021,2
2021-04-26,251.54566955566406,252.4016410376156,250.21847937453774,251.6514773046846,19763300,0.3847198486328125,0.15317661805371863,0,4,2021,2
2021-04-27,251.94960021972656,253.12293616808492,250.17035719184975,251.5745037037294,31014200,0.4039306640625,0.16057945452847555,1,4,2021,2
2021-04-28,244.82301330566406,246.72728837126857,243.2745956256258,246.2848623553483,46903100,-7.1265869140625,-2.8285763929958074,2,4,2021,2
2021-04-29,242.85145568847656,246.30414889333332,239.47571890978605,245.68862956024947,40589000,-1.9715576171875,-0.8052991385764874,3,4,2021,2
2021-04-30,242.53404235839844,243.39962592937061,240.05274094363295,240.18738532021044,30945100,-0.317413330078125,-0.13070266726558089,4,4,2021,2
2021-05-03,242.22630310058594,244.62106536473124,241.514602971749,243.70739132259695,19626600,-0.3077392578125,-0.1268849745050371,0,5,2021,2
